Cumulative Cases and Deaths in Global

Date     Cases     Deaths
1/22/20   557.00     17.00
1/23/20   655.00     18.00
1/24/20   941.00     26.00
1/25/20   1433.00     42.00
1/26/20   2118.00     56.00
1/27/20   2927.00     82.00
1/28/20   5578.00     131.00
1/29/20   6167.00     133.00
1/30/20   8235.00     171.00
1/31/20   9927.00     213.00
2/1/20   12038.00     259.00
2/2/20   16787.00     362.00
2/3/20   19887.00     426.00
2/4/20   23898.00     492.00
2/5/20   27643.00     564.00
2/6/20   30803.00     634.00
2/7/20   34335.00     719.00
2/8/20   37069.00     806.00
2/9/20   40096.00     906.00
2/10/20   42634.00     1013.00
2/11/20   44676.00     1113.00
2/12/20   45054.00     1118.00
2/13/20   60207.00     1371.00
2/14/20   66691.00     1523.00
2/15/20   68767.00     1666.00
2/16/20   70880.00     1770.00
2/17/20   72816.00     1868.00
2/18/20   74610.00     2008.00
2/19/20   75031.00     2123.00
2/20/20   75578.00     2246.00
2/21/20   76207.00     2250.00
2/22/20   77968.00     2457.00
2/23/20   78291.00     2467.00
2/24/20   78855.00     2627.00
2/25/20   79708.00     2707.00
2/26/20   80671.00     2767.00
2/27/20   82031.00     2810.00
2/28/20   83418.00     2867.00
2/29/20   85308.00     2936.00
3/1/20   87689.00     2990.00
3/2/20   89672.00     3079.00
3/3/20   92265.00     3154.00
3/4/20   94568.00     3249.00
3/5/20   97379.00     3343.00
3/6/20   101292.00     3454.00
3/7/20   105380.00     3558.00
3/8/20   109328.00     3797.00
3/9/20   113500.00     3987.00
3/10/20   118321.00     4261.00
3/11/20   125979.00     4604.00
3/12/20   131769.00     4910.00
3/13/20   146143.00     5407.00
3/14/20   157203.00     5827.00
3/15/20   168464.00     6468.00
3/16/20   183246.00     7144.00
3/17/20   199143.00     7957.00
3/18/20   218659.00     8862.00
3/19/20   245664.00     9972.00
3/20/20   276380.00     11454.00
3/21/20   308318.00     13172.00
3/22/20   343106.00     14846.00
3/23/20   385899.00     16790.00
3/24/20   426998.00     19076.00
3/25/20   477932.00     21880.00
3/26/20   540688.00     24906.00
3/27/20   605654.00     28393.00
3/28/20   672786.00     32117.00
3/29/20   732000.00     35601.00
3/30/20   797127.00     39665.00
3/31/20   873870.00     44416.00
4/1/20   956527.00     50385.00
4/2/20   1039450.00     56257.00
4/3/20   1122881.00     62390.00
4/4/20   1181204.00     68285.00
4/5/20   1253706.00     73437.00
4/6/20   1326764.00     79355.00
4/7/20   1396511.00     87611.00
4/8/20   1479809.00     94400.00
4/9/20   1566749.00     102187.00
4/10/20   1652197.00     109591.00
4/11/20   1726452.00     115765.00
4/12/20   1846096.00     121569.00
4/13/20   1916780.00     127487.00
4/14/20   2000711.00     134464.00
4/15/20   2077821.00     142913.00
4/16/20   2173312.00     150186.00
4/17/20   2261246.00     158558.00
4/18/20   2338489.00     164699.00
4/19/20   2415053.00     169894.00
4/20/20   2491069.00     175724.00
4/21/20   2566732.00     183016.00
4/22/20   2647935.00     189836.00
4/23/20   2732149.00     196663.00
4/24/20   2816189.00     203395.00
4/25/20   2898401.00     209017.00
4/26/20   2969959.00     212944.00
4/27/20   3040147.00     217642.00
4/28/20   3115492.00     224221.00
4/29/20   3192589.00     231046.00
4/30/20   3275990.00     237093.00
5/1/20   3364355.00     242221.00
5/2/20   3443547.00     247689.00
5/3/20   3519805.00     251126.00
5/4/20   3597446.00     255282.00
5/5/20   3677888.00     261147.00
5/6/20   3767902.00     267687.00
5/7/20   3856486.00     272985.00
5/8/20   3946749.00     278522.00
5/9/20   4031811.00     282809.00
5/10/20   4106766.00     286301.00
5/11/20   4183388.00     289744.00
5/12/20   4267795.00     295243.00
5/13/20   4352712.00     300391.00
5/14/20   4448852.00     305542.00
5/15/20   4544553.00     310762.00
5/16/20   4638868.00     315010.00
5/17/20   4716858.00     318139.00
5/18/20   4805978.00     321852.00
5/19/20   4902735.00     326544.00
5/20/20   5004475.00     331333.00
5/21/20   5111097.00     336015.00
5/22/20   5217448.00     341287.00
5/23/20   5322228.00     345272.00
5/24/20   5416312.00     348254.00
5/25/20   5502972.00     349432.00
5/26/20   5596871.00     353660.00
5/27/20   5699591.00     358754.00
5/28/20   5818811.00     363372.00
5/29/20   5939658.00     368014.00
5/30/20   6076135.00     372034.00
5/31/20   6182520.00     374805.00
6/1/20   6278264.00     377879.00
6/2/20   6400150.00     382615.00
6/3/20   6514355.00     388031.00
6/4/20   6645214.00     393069.00
6/5/20   6776375.00     397644.00
6/6/20   6910059.00     401474.00
6/7/20   7022371.00     404204.00
6/8/20   7124746.00     407903.00
6/9/20   7249730.00     412681.00
6/10/20   7384682.00     417743.00
6/11/20   7522628.00     422406.00
6/12/20   7651228.00     426603.00
6/13/20   7786383.00     430757.00
